RT_VA_Beats_Pre,RT_IA_Beats_Pre,,RT_VA_Beats_Post,RT_IA_Beats_Post
345.5666667,349,,319.3,327.95
374.8,361.7,,293.3333333,295.85
405.3666667,470.4,,382.9333333,375.05
373.5666667,430.9,,300.2666667,367.35
330.4666667,365.05,,323.2333333,330.1
284.3333333,291.4,,246.0333333,260.7
313.5666667,338.8,,277.4333333,314.55
338.6,365.95,,298.4,315.2
337.6333333,341.4,,396.6,401.2
310.1666667,321.15,,291.1666667,321.45
324.1333333,360.6,,313.8333333,333.95
325.1,341.3,,328.0666667,330.75
315.5666667,371.5,,314.2666667,328.1
308.0666667,316.05,,327.9666667,327.45
297.1666667,317.5,,274.3666667,306.3
318.1,350.1,,296.2,270.7
309.6333333,331.8,,286.9,322.6
257.9333333,284.55,,255.0666667,260.95
273.8333333,314.35,,283.4333333,310.7
288.4,336.1,,355.5666667,368.65
302.2333333,311.5,,300,327.35
289.0333333,303.5,,321.3,300.6
283.9,275.75,,245.4666667,267
315.7666667,342.55,,308.3333333,323.4
236.9,271.55,,247.5,241.85
424.1,437.95,,364.2666667,387.5
